,0worker,1worker,2workers,3+workers
1person,0.5043142,0.3204863,0,0
2persons,1.1496347,0.7793679,0.4852848,0
3persons,1.4607494,0.7090239,0.7643296,1.1455098
4+persons,2.7297389,1.458436,1.0954772,0.6192503
