,0worker,1worker,2workers,3+workers
1person,1.417531,0.8383994,0,0
2persons,2.44655,2.196376,1.587117,0
3persons,2.757458,3.1303409,2.960307,2.764246
4+persons,2.071872,2.7548908,3.290695,3.07558
