,1,2,3,4,5,6,7,8,9,10
1,0,45,12,6,82,55,33,50,143,58
2,50,0,36,18,291,74,180,92,436,97
3,8,6,0,1,13,7,8,7,19,8
4,3,2,1,0,2,0,3,2,5,0
5,313,304,79,39,0,22,46,134,967,75
6,19,73,14,7,62,0,8,35,167,7
7,129,126,26,13,115,7,0,9,311,13
8,28,75,13,6,108,33,8,0,82,65
9,600,1961,430,211,3494,885,1014,151,0,404
10,29,81,21,10,94,6,12,101,257,0
