BLOCK,TAZ,HHS1BASE,HHS2BASE,HHS3BASE,HHS4BASE,POPBASE
410159503022033,113,10,16,3,10,94
410159503022034,113,4,14,4,6,70
410159503022035,113,4,4,4,4,43
410159503022036,118,16,9,8,6,87
410159503022037,119,0,2,2,2,18
410159503022038,119,6,7,2,3,39
410159503022039,118,0,0,0,0,0
410159503022040,118,0,0,0,0,0
410159503022041,118,6,11,2,10,83
410159503022042,114,16,13,4,7,87
410159503022043,114,11,9,3,4,60
410159503022044,114,3,8,0,2,27
410159503022045,112,2,7,6,2,45
410159503022046,112,1,3,2,2,22
410159503023000,119,0,0,1,1,9
410159503023001,119,6,6,6,3,50
410159503023002,119,36,8,9,2,87
410159503023003,119,1,2,1,1,14
410159503023004,125,45,11,0,1,71
410159503023005,125,12,8,1,3,44
410159503023006,125,0,0,0,0,0
410159503023007,125,0,0,0,0,0
410159503023008,125,0,0,0,0,0
410159503023009,131,4,5,0,0,14
410159503023010,131,0,0,0,0,0
410159503023011,126,0,0,0,0,0
410159503023012,126,0,0,0,0,0
410159503023013,119,6,6,0,0,18
410159503023014,126,0,1,1,1,10
410159503023015,126,0,0,0,0,0
410159503023016,119,0,0,0,0,0
410159503023017,119,0,0,0,0,0
410159503023018,126,0,0,0,0,0
410159503023019,127,0,0,0,0,0
410159503023020,117,2,4,2,4,34
410159503023021,115,40,33,8,11,180
410159503023022,115,0,1,1,0,5
410159503023023,116,7,8,4,7,67
410159503023024,128,7,16,1,4,60
410159503023025,128,6,7,2,1,31
410159503023026,129,2,3,0,0,8
410159503023027,129,0,0,0,0,0
410159503023028,130,1,3,0,0,7
410159503023029,131,0,0,0,0,0
410159503023030,131,0,0,0,0,0
410159503023031,131,1,1,1,1,10
410159503023032,131,1,1,0,0,3
410159503023033,130,10,27,6,6,108
410159503023034,130,3,3,0,1,13
410159503023035,128,2,9,0,2,30
410159503023036,128,0,8,1,0,19
410159503023037,128,13,9,1,4,55
410159503023038,116,10,12,4,5,66
410159503023039,128,1,2,0,0,5
410159503023040,109,1,2,1,1,14
410159503023041,109,1,4,2,0,15
410159503023042,110,0,0,0,0,0
410159503023043,109,0,0,0,0,0
410159503023044,109,0,0,0,0,0
410159503023045,109,2,0,0,0,2
410159503023046,109,0,0,0,0,0
410159503023047,109,0,0,0,0,0
410159503023048,109,0,0,0,0,0
410159504001002,141,12,25,10,3,104
410159504001003,139,1,4,0,0,9
410159504001004,139,8,7,1,2,35
410159504001005,139,2,1,1,1,11
410159504001006,139,18,10,0,1,43
410159504001007,139,94,134,31,50,691
410159504001008,139,0,3,0,1,11
410159504001009,139,0,0,0,0,0
410159504001010,139,0,0,0,0,0
410159504001011,140,3,3,0,1,13
410159504001012,140,9,3,0,0,15
410159504001013,144,2,3,1,1,16
410159504001014,143,0,0,0,0,0
410159504001015,144,4,10,2,2,38
410159504001016,144,7,10,4,5,63
410159504001017,144,0,0,0,0,0
410159504001018,144,4,8,2,4,45
410159504001019,144,15,9,0,3,48
410159504001020,144,48,39,5,1,146
410159504001021,144,3,6,1,0,18
410159504001022,145,1,0,0,1,5
410159504001023,145,1,1,0,1,7
410159504001024,145,0,5,0,1,14
410159504001025,145,9,14,2,3,56
410159504001026,145,1,3,0,0,7
410159504001027,152,5,8,3,1,34
410159504001028,152,16,3,0,0,22
410159504001029,152,1,2,1,0,8
410159504001030,159,0,1,0,0,2
410159504001031,159,0,0,0,0,0
410159504001032,159,0,0,0,0,0
410159504001033,159,0,2,0,0,4
410159504001034,159,1,5,1,1,18
410159504001035,152,2,3,0,0,8
410159504001036,152,0,1,0,1,7
410159504001037,152,1,0,0,0,1
410159504001038,152,4,5,0,5,38
410159504001039,139,0,0,0,0,0
410159504001040,139,2,2,0,0,6
